身热肢寒	热深厥深身热肢寒 阴盛格阳身热肢寒
自汗	风邪中络目偏视 肺气虚少气 心气虚掼憋气 气血虚衰肛门流脓 肺脾气虚鼻干 气血两虚四肤瘦削 肾不纳气脐下悸动 心气亏虚小儿心悸 脾虚血弱紫癜 气虚低热 肺气虚弱颜面浮肿 脾胃虚弱月经过少 脾胃气虚半身麻木 肺气阴两虚气喘 气阴两虚胸痛 心肺气虚善悲 火毒上攻囟门凸起 肾不纳气少气 暑热惊风 气虚风热爱明 心气虚独语 精血亏虚脱形 心气亏虚胸痛 风邪犯表产后发热 卫气亏虚恶风 睥肾气虚骨痛 气血亏虚四肤疼痛 营虚半身麻木 气血亏虚足跟痛 热炽阳明自汗 气血两虚善恐 脾气虚弱月经过多 血虚口唇淡白 气虚里急后重 表虚不固多汗 风邪袭表恶风 阳虚面色白 气血两虚疲乏 脾胃积热多汗 心肝阴虚颈粗 心气虚少气 气血亏虚目珠自胀 气血两虚夜盲 肺气不足善忧思 气虚齿动牙痛 阳虚自汗 气虚血瘀面痛 气虚肥胖 心阳亏虚小儿心样 气血亏虚手舞足蹈 气阴两虚反胃 脾气虚头晕 气虚产后发热 气虚舌纵 寒疑气滞胸痛 气虚血褒股阴痛 血虚津亏产后大便难 营卫不和自汗 脾胃气虚潮热 气血两虚舌淡白 肩凝肩不举 脾不统血舌衄 营卫不和多汗 气虚自汗 血瘀气滞四肢强直 暑伤气阴自汗 气虚善太息 热痰阻肺哮鸣 痰湿肩痛 命门火衰目昏 气阴两虚小儿心悸 外感风温发热 肺气虚肥胖 肺积痰热鸡胸 气血两虚动风角弓反张 气虚舌边齿痕
妊振肿胀	睥虚湿泛妊振肿胀 气滞妊娠肿胀 肾虚水泛妊娠肿胀
面具脸	气血两虚面具脸 湿热阻滞面具脸 肝肾阴虚面具脸 班血阻络面具脸
妊娠尿痛	湿热妊娠尿痛 实热妊娠尿痛 虚热妊娠尿痛 气虚妊娠尿痛
异位妊娠	未破损期异位妊娠 气虚血挤异位妊娠 破损期异位妊娠 气随血脱异位妊娠
流泪	脾胃实热抱轮红 气血两虚星翳 脾伤疳积目札 阴虚火旺流泪 邪热伏络白睛红赤 气虚风热爱明 肝胆火盛抱轮红 肝经火旺轮上赤豆 胎毐内藴杨梅疮 气滞血瘀瞳神缩小 风热内积倒睫 肝肾两亏流泪 肝经风热流泪 风邪袭络顔面抽描 肝郁血虚手舞足蹈 肝热受风经行目痛 肺肝郁热轮上赤豆 脾经风热目生椒粟 湿热偏盛睑弦赤烂 风中经络流涎 风热目痒 脾经湿热目生椒粟 肝经虚寒流泪 肝肺风热赤膜下垂 风寒目痒 肝经实热目畏热 肺脾气虚倒睫 肝经风热星翳
半身不遂	风中经络半身不遂 肝风舌麻 气虚血瘀四肢肿胀 阳脱半身不遂 肝阳化风半身不遂 阴虚阳浮半身不遂 中内风舌歪 肝肾亏虚半身不遂 中外风舌歪 气虚血挤半身不遂 风痰阻遏舌强 肝阳化风四肢强直 阴虚风动神昏 痰热内闭半身不遂 疲湿兼闭心窍半身不遂
舌上出血	心火亢盛舌衄 脾不统血舌衄 阴虚火炎舌衄 肝火上炎舌衄
妊娠心烦	肝郁化火妊娠心烦 痰火内扰妊娠心烦 阴虚火旺妊娠心烦
善惊	心胆气虚善惊 惊恐伤神心悸 痰火扰心善愤 肝郁血虚善惊 阴虚火旺发狂 阴虚阳充脏燥 心胆虚怯小儿心择 阴血不足善惊 心火充盛善惊
腹部硬满	阳明腑实潮热 饮热互结腹部硬满 升降失常腹部硬满 热毒籩结腹部硬满
口中生疮	脾宵气虚口疮 阴虚火旺口疮 脾胃积热口疮
囟门下陷	睥肾阳虚脑髓失充囟陷 气液耗损真气下陷囟陷
经行便血	脾不统血经行便血 宵肠积热经行便血
心中懊侬	阳明腑实心中懊侬 热扰胸鎘心中懊侬 心血不足经行情志异常 湿热郁蒸心中懊侬 气阴两伤心中懊侬 阴虚火旺心中懊侬 热实结胸心中懊侬
啮齿	热盛动风啮齿 蝈虫啮齿 风寒束表啮齿 阴虚动风啮齿 心脾积热啮齿 气血两虚啮齿 食滞宵肠啮齿
妊娠心腹胀满	肺胃热盛妊娠心腹胀满 肝郁妊娠心腹胀满 脾虚气滞妊娠心旗胀满
鼠蹊肿痛	暑湿流注鼠蹊肿痛 瘀血流注鼠蹊肿痛 寒凝气滞鼠蹊肿痛 热毒壅盛鼠蹊肿痛 余毒流注鼠溪肿痛
下肢生疽	湿热阻滞下肢生疽 肾精亏虚下肢生疽:多发于儿童及靑年 风寒湿凝滞下肢生疽
初生腹泻	虚寒腹泻 湿热腹泻 风寒腹泻 伤食腹泻
猫眼疮	风寒阻络猫眼疮 风热蕴肤猫眼疮 湿热毒费猫眼疮
妄想	痰气郁结妄想 气滞血瘀妄想 痰火内扰妄想 阴虚火旺妄想 气滞血褒善疑 气血两虚妄想
憋气	心气虚掼憋气 脾肾阳虚憋气 痰饮壅盛憋气 邪热费肺胸闷 肝郁气滞憋气 心血瘀阻胸闷
善食易饥	胃火炽盛善食易饥 胃阴亏虚妊娠消渴 肺胃津亏瘫痪 阳明蓄血善食易饥
牙龈肿痛	风热牙龈肿痛 肾阴虚火旺牙龈肿痛 胃火牙銀肿痛 热毒蕴肠异嗜 风火熏迫大扬便血 胃火血热经行吐衄
尿血	膀胱阻滞小腹痛 脾肾两虚尿血 下焦血瘀尿痛 肾阴亏损尿血 膀胱湿热尿血 肝经郁热妊娠尿血 热入营血面色红 血热动血汗血 肝胆湿热尿血 肾阴亏虚尿痛 湿热风毒紫癜 心火亢盛尿血 热入营血烦躁 阴虚火旺妊娠尿血
小儿青盲	肝经风热小儿青盲 撞击外伤小儿青盲 肝肾不足小儿靑盲 血虚肝郁小儿青盲 脾虚气弱小儿青盲
口唇青紫	疫毒凌心咽喉白腐 瘀阻肺络咳血 邪毒炽盛闭肺内陷《陷逆证》 痰浊阻肺口唇青紫 脾阳虚弱口唇青紫 心肾阳衰面色青 感受疫毒大便脓血 气滞血瘀口唇靑紫 寒犯少阴口唇靑紫
胸闷	气郁伤肺气喘 肝郁气滞脏躁 脾胃实热黄液上冲 邪热费肺胸闷 火郁五心烦热 肝郁气滞腹筋挛急 心血瘀阻小儿心悸 肝气郁结少腹痛 暑湿袭表恶寒发热 心气亏虚胸痛 痰湿阴吹 心胆气虚多梦 肝郁化火闭经溢乳 痰湿上逆头目胀痛 心血瘀阻面色靑 肝胃不和嘈杂 肝气郁滞胸闷 气滞胎位不正 肝郁气滞胁痛 气郁五色带 胸供肩不举 脾运失健厌食 气血亏虚缺盆溃烂 挤血阻滞不射精 湿热壅遏眼睑丹毒 肝郁气滞视瞻昏渺 风痰经行抽搐 气滞血瘀经间期出血 肝热妊娠呕吐 气阴两虚针眼 气滞血瘀口唇靑紫 湿热郁蒸但热不寒 气郁血虚痴呆 肝胃不和恶心 肾虚痰阻气喘 肝郁气滞目珠自胀 情志异常异嗜 肝郁气滞阴痛 肝胆湿热腋汗 痰湿白带 寒邪客肺畏寒 肝郁气滞经行腹痛 气滞血瘀短气 湿热留滞经间期出血 气滞妊娠小便不通 疲油中阻肥胖 湿郁低热 痰湿内阻言语错乱 脾虚肝旺妊娠疫厥 气滞妊娠肿胀 肺热咳嗽 心血褒阻心悸 暑湿咳嗽 脾气亏虚胎水肿满 湿热雄结便难 气阴两虚小儿心悸 痰湿阻滞闭经 暑热伤气但热不寒 风寒袭肺白睛溢血 肝气郁滞脑鸣 肝胆湿热胁痛 水湿困脾浮肿 肝气犯胃经行呕吐 风湿犯头头痛 肝郁血虚四肢抽擄 风热挟痰阻络面痛 肝郁气滞性早熟 心气亏虚梦游 热深厥深身热肢寒 心气虚独语 肝气犯胃暧气 肺气壅滞小便不通 风湿犯头头重 痰湿流注臂痛 湿热蕴结壮热 睥虚夹湿经行眩晕 肝郁脾虚经前乳胀 肝郁化火经行发热 气滞血疲胞衣先玻 湿著肌表身重 湿热郁阻三焦寒热往来 痰湿阻滞不孕 湿热下注产后浮肿 肝郁气滞经前乳胀 热邪犯肺声音嘶哑 肝气郁结阴冷 痰火扰心小儿多动 脾胃湿热白睛生疳 肝郁肾虚经前乳胀 肝气郁结艟神散大 气血褒结颈粗 风湿热郁发癍 痰浊犯头头痛 肝郁善太息 表寒里热气喘 风热挟湿红疹 湿热内蔥小便挟精 心阳亏虚小儿心样 风寒束肺胸闷 气郁疾阻步态不稳 瘀阻肺络咳血 痰湿阻络目偏视 痰凝气滞咽中异物感 痰浊上蒙云雾移睛 毒邪流窜杨梅疮 气滞妊娠腹痛 痰热阻肺喉中痰鸣 痰浊扰心健忘 风寒闭肺气喘 血嵌乳汁不行 心血瘀阻胸闷 寒热错杂哮鸣 肝郁化火面痛 肝火偏亢月经过多 寒湿内阻吞酸 肝郁气滞胃痛 肝经湿热阴痛 肝火犯胃吐血 气滞产后胁痛 肝郁疲凝颈间生疮 气滞血班难产 湿热蕴蒸头重 热壅血瘀胸闷 湿阻气滞头胀 风痰郁结痰核流注 风痰闭神痫 湿疲阻络半身麻木 毒入血分皮肤红线 肝胃不和呕吐 湿热内苔皮肤褐斑 风痰上扰目昏 瘀血阻滞鼾眠
脐漏	脾胃湿热脐漏 气血两虚脐漏
视瞻昏渺	湿热上犯视瞻昏渺 肝肾阴虚目昏 阴虚火旺视瞻昏渺 精血亏损视瞻昏渺 肝郁气滞视瞻昏渺
耳痒	风热湿毒耳痒 肾虚火旺耳痒 脾虚湿浊耳痒
寒热往来	邪阻半表半里盗汗 肝胆湿热尿频 热入血室经来骤止 邪入少阳寒热往来 湿热郁阻三焦寒热往来 肝经郁热妊娠尿血 表寒郁热烦躁 邪入少阳口苦 肝气郁滞胸闷 肝胆郁热咽干 肝胆湿热小便黄赤 热入血室妄听妄视 外感疟部寒热往来 疟各痞块
舌苔白腻	湿热白庀 水湿困脾浮肿 痰湿中阻食后困顿 疲蒙清窍痴呆 风湿犯头头痛 肺经风热鱼胞 外感寒湿舌苔白腻 脾虚湿热鼻臭 湿著肌表身痛 暑湿流注鼠蹊肿痛 脾胃虚弱积滞 邪伏募原恶寒 寒饮内停偏头痛 睥虚湿困疳翳 寒湿中阻腹满 痰浊内阻手足厥冷 风湿皮肤瘙痒 寒湿发黄 痰浊阻肺气喘 寒湿侵袭背痛 湿困脾阳嗜睡 湿痰阻窍痴呆 疾气互结反胃 寒饮内停舌苔白腻 痰浊犯头头痛 风痰经行抽搐 痰湿咳嗽 痰湿阻滞麻木 痰湿阻络目偏视 肾虚风湿阴茎溃烂 外邪干胃呕吐 中内风舌歪 肾虚痰阻气喘 寒湿痹阻汗出偏沮 痰湿白带 风痰挟瘀四肢抽搐 肝气郁结失语 湿热蕴蒸云雾移睛 风疲内闭神昏 风中经络半身不遂 脾虚湿蕴指（趾）缝湿烂 风寒湿凝滞下肢生疽 风湿客表恶寒发热 湿阻膝原舌苔白腻 风痰上扰啮舌 风疲入络口眼呙斜 气虚痰结发癫 湿热蕴蒸头重 湿阻气滞头胀 过食生冷积滞 风痰闭神痫 痰气痞 风痰入络手颤 痰湿阻滞闭经 寒湿束表无汗 痰湿内阻头晕 痰壅气阻喉中痰鸣 湿毒浸淫指（趾）缝湿烂 风痰上扰目昏 风邪入侵四肤强直
黄带	肝经湿热女阴白斑 胃气虚弱呕吐 气虚黄带 湿热黄带 肺热壅盛咳血 肝经湿热经前面部粉刺 湿热下注阴痒 热重于湿阴肿 湿热浸淫股阴痛
带状疱疹	脾虚湿盛带状疱疹 湿热壅滞带状疱疹 气虚血瘀带状疱疹 热毒灼营带状疱疹
胸痛	外感咳血 风热犯肺白睛溢血 热壅血丧胸痛 肺热炽盛壮热 疲疲互结把胖 风热犯肺气喘 寒疑气滞胸痛 阴虚肺燥咳痰 肺热咳嗽 肺燥阴虚鼻干 心血挤阻胸痛 燥热伤肺咽干 气阴两虚胸痛 邪热壅肺但热不寒 胸供肩不举 心气亏虚胸痛 心血瘀阻胸闷 痰热蕴肺口臭 燥邪伤肺咳嗽 燥邪伤肺鼻干 痰浊阻滞胸痛 气滞血瘀短气
妊娠小便不通	脾气虚妊娠小便不通 气滞妊娠小便不通 湿热妊娠小便不通 肾阳虚妊娠小便不通
小儿重舌	虚火上炎重舌 心脾积热重舌
胎动不安	气滞胎动不安 外伤胎动不安 肾阳虚胎动不安 血虚胎动不安 气虚胎动不安 血热胎动不安
晕厥	气虚晕厥 血气上逆晕厥 痰浊上蒙晕厥 气郁痰壅口噤 蜃邪中人晕厥 血虚晕厥 阴虚肝旺晕厥
单腹胀大	脾肾阳虚单腹胀大 湿热结单腹胀大 肝肾阴虚单腹胀大 气滞湿阻单腹胀大 气滞血瘀单腹胀大
产后腰痛	寒湿阻络产后腰痛 肾亏血虚产后腰痛 血瘀产后腰痛
言语错乱	痰湿内阻言语错乱 肝郁气结言语错乱 心睥两虚言语错乱 挤血扰心言语错乱
