身热肢寒	热深厥深身热肢寒 阴盛格阳身热肢寒
唇肿	风热化火丹毒 风湿唇肿 气滞血疲唇肿 风热唇肿
身重	湿热下注月经过多 风寒侵犯小儿音哑 水湿困脾浮肿 湿热郁蒸但热不寒 脾胃湿热手足汗出 外邪干胃呕吐 外感寒湿舌苔白腻 肝胆湿热腋汗 风湿犯头头重 湿毒鼉结膝肿痛 湿热蕴结壮热 睥阳不振浮肿 风湿挟热肛门瘙痒 阳虚水泛身重 湿郁低热 水饮内停口渴 痰湿上逆头目胀痛 湿著肌表身重 湿热遂阻肛门流脓 痰饮中阻舌答灰黑 气滞胎位不正 肾阳虚衰嗜睡 湿热下注产后浮肿 风痰郁结痰核流注 湿热雄结便难 心火脾湿夭疱疮 风水相搏身重 湿热内苔皮肤褐斑 风湿夹热瞳神缩小 湿热獲结肛门生痔 脾虚湿因疲乏
皮肤脱屑	血虚风燥手足脱屑 血热风煉脱屑 风湿蕴肤脱屑 血虚皮肤瘙痒 肺胃明伤余热丹痧 血虚风煉脱屑 风热外袭脱屑 毒热炽盛脱屑
发癍	热入营血发癍 脾不统血发癍 风湿热郁发癍 气滞血瘀发癍 阳气虚发癍 阴虚火旺发癍
阴吹	气郁阴吹 胃燥津亏阴吹 气虚阴吹 痰湿阴吹
腹满	胃肠实热舌苔黄 水饮内停口渴 湿热瑰结腹满 脾阳虚衰舌苔灰黑 脾胃虚寒黄液上冲 热结肠道但热不寒 食滞胃脎腹满 阳明腑实谵语 邪热伤津项强 脾虚舌胖 阳明热盛发狂 胃火燔齿牙齿焦黑 湿阻气滞胎死不下 胃热干呕 胃肠实热政满 脾阳虚衰舌苔白 胃肠实热小便黄赤 湿毒鼉结膝肿痛 阳虚津不上承舌干 阳明瞄实发热 寒湿中阻腹满 血丧胞衣不下
胚周痈肿	寒邪凝滞胚周痈肿 虚热结聚胚周痈肿 实热费积胚周痈肿
喜食异物	情志异常喜食异物 疳积喜食异物 虫积喜食异物
乳房红肿	气郁乳房红肿 火毒乳房红肿 血褒乳房红肿 乳积乳房红肿
妊娠呕吐	痰滞妊娠呕吐 胃寒妊娠呕吐 胃气虚妊娠呕吐 肝热妊娠呕吐 胃热妊娠呕吐
耳内流脓	风热上扰耳内流脓 脾虚湿困耳内流脓 肾元亏损耳内流旅 肝胆湿热耳内流脓
目痒	火盛目痒 脾虚湿滞胞睑肿胀 风寒目痒 血虚目痒 风热目痒
舌光	瘀血阻络紫癜 气阴两虚舌光 胃阴干涸舌光 热入营分谵语 肾阴虚产后小便频数与失禁 气血两虚舌光 肾阴欲竭舌光 阴虚火旺发癍
疳翳	脾虚气陷疳翳 伤食积滞疳翳 虫积疳翳 睥虚湿困疳翳 脾肾阳虚疳翳
面诟	肝肾阴虚面诟 胃热熏蒸面诟 暑湿蕴蒸面诟 燥干清窍面诟
发癫	肝郁气滞发癫 心脾两虚发癫 气虚痰结发癫 痰蒙淹窍发癫
丹毒	风热化火丹毒 热毒攻心神昏 湿热化火丹毒 肝胆湿热丹毒 胎热丹毒（俗称游火）
大便下血	肝肾阴虚便血 脾不统血经行便血 胃肠湿热蕴毒便血 脾肾阳虚便血 风火熏迫大扬便血 宵肠积热经行便血
胬肉攀睛	脾胃湿热胬肉 肺经蕴热胬肉 肝经火盛胬肉 肾经虚火胬肉 术后屡发胬肉 心火炽盛胬肉
